categoryName,city,reviewsCount,stars,state,text,title,url
Playground,Burgos,8,4.0,Burgos,"Parque pequeño, pero completo. Cuidado con la arena porque los niños se van a manchar mucho.",Parque Román García,https://www.google.com/maps/search/?api=1&query=Parque%20Rom%C3%A1n%20Garc%C3%ADa&query_place_id=ChIJX6pnJZn9RQ0RIngMOUwRtfQ
Corporate office,Villagutiérrez,6,3.0,Burgos,,Villagutierrez Ayuntamiento,https://www.google.com/maps/search/?api=1&query=Villagutierrez%20Ayuntamiento&query_place_id=ChIJ4-DwISAQRg0RvR_LObg4QeI
Bicycle rental service,Burgos,2,5.0,Burgos,,Bicibur - VISTA ALEGRE,https://www.google.com/maps/search/?api=1&query=Bicibur%20-%20VISTA%20ALEGRE&query_place_id=ChIJiewYxpP8RQ0RTs-yJkn_WIA
Agricultural production,Baranda,1,5.0,Burgos,,Ramila Agricultor y Ganadero,https://www.google.com/maps/search/?api=1&query=Ramila%20Agricultor%20y%20Ganadero&query_place_id=ChIJY6KJM7klTw0Ri1vtJLFs5yM
Beer hall,Burgos,139,4.0,Burgos,,Cervecería El Ring,https://www.google.com/maps/search/?api=1&query=Cervecer%C3%ADa%20El%20Ring&query_place_id=ChIJQxGg_br9RQ0RxVbTjl1T2XA
Catholic church,Villagutiérrez,1,5.0,Burgos,"Preciosa Iglesia románica dedicada a los patrones de Villagutiérrez, los Santos Emeterio y Celedonio.",Iglesia de los Santos Emeterio y Celedonio,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20los%20Santos%20Emeterio%20y%20Celedonio&query_place_id=ChIJoZkHkB8QRg0RixRQG3r7C0I
Catholic church,Burgos,110,5.0,Burgos,,Iglesia de Santiago y Santa Águeda,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20Santiago%20y%20Santa%20%C3%81gueda&query_place_id=ChIJJQZUkCn9RQ0RlmMTcG9Mobk
Park,Estépar,0,,Burgos,,Acceso gruas parque eolico valdelugo,https://www.google.com/maps/search/?api=1&query=Acceso%20gruas%20parque%20eolico%20valdelugo&query_place_id=ChIJ9QoMPgAPRg0R-emNvhRGxdA
Civic center,Burgos,10,5.0,Burgos,"No dudo que el centro cívico sea excepcional al igual que el resto de cívicos de la provincia
Comentar que el comentario anterior es una cuenta falsa con mi nombre esa persona no corresponde a esos datos",Centro Cívico Vista Alegre,https://www.google.com/maps/search/?api=1&query=Centro%20C%C3%ADvico%20Vista%20Alegre&query_place_id=ChIJK6TwxZP8RQ0Rl26nDZvsBuo
Church,Baranda,1,5.0,Burgos,Es muy bonita por dentro,Iglesia de El Salvador,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20El%20Salvador&query_place_id=ChIJX3qQKHMkTw0R_yWGqhYErpw
Sculpture,Burgos,0,,Burgos,,Monolito de Juan Pablo II,https://www.google.com/maps/search/?api=1&query=Monolito%20de%20Juan%20Pablo%20II&query_place_id=ChIJQ23xQAD9RQ0RjvKs5KnRWQM
Media company,Burgos,4,5.0,Burgos,Información local de calidad e independiente. Muy recomendable.,RTVE Burgos,https://www.google.com/maps/search/?api=1&query=RTVE%20Burgos&query_place_id=ChIJCWB2aNX8RQ0RCL0vBYbm4I4
Historical landmark,Burgos,0,,Burgos,,Antigua iglesia de Santa Gadea (Edad Media),https://www.google.com/maps/search/?api=1&query=Antigua%20iglesia%20de%20Santa%20Gadea%20(Edad%20Media)&query_place_id=ChIJD1nTTgD9RQ0RfEBVl3zuhhw
Retirement home,Burgos,0,,Burgos,,Perma 3 S L,https://www.google.com/maps/search/?api=1&query=Perma%203%20S%20L&query_place_id=ChIJERCatpP8RQ0R-UuqnDMfRKQ
Livestock breeder,Loma de Montija,0,,Burgos,,AGROBREGONES T.C.E.A,https://www.google.com/maps/search/?api=1&query=AGROBREGONES%20T.C.E.A&query_place_id=ChIJz5bFa2MlTw0Rdi7x-gXaA60
Church,Cueva de Juarros,1,5.0,Burgos,"Es bonito encontrarse con una Ermita recién restaurada. La señalización es correcta y el tríptico ofrece una muy buena información, que además incluye un código QR que permite acceder a una página WEB con muchos más datos.. Un 10 por el esfuerzo y el interés demostrado en mantener el patrimonio.",Ermita de Nuestra Señora del Cerro,https://www.google.com/maps/search/?api=1&query=Ermita%20de%20Nuestra%20Se%C3%B1ora%20del%20Cerro&query_place_id=ChIJE5cbBDPvRQ0R7u1QpNwiaM4
Language school,Burgos,0,,Burgos,,EDE - Language School / Spanish Courses,https://www.google.com/maps/search/?api=1&query=EDE%20-%20Language%20School%20%2F%20Spanish%20Courses&query_place_id=ChIJew9htS_9RQ0RVnNgoKGt5mc
Electrical substation,Villagutiérrez,0,,Burgos,,ST Villagutierrez,https://www.google.com/maps/search/?api=1&query=ST%20Villagutierrez&query_place_id=ChIJP2CnBaIPRg0RrOtr9b0gWd0
Bar,Baranda,98,5.0,Burgos,,Bar Anda-Morcillas Caseras,https://www.google.com/maps/search/?api=1&query=Bar%20Anda-Morcillas%20Caseras&query_place_id=ChIJ_3kQ-3IkTw0REU1xQ7DTRBQ
Public library,Burgos,32,1.0,Burgos,"A quién se le ocurrió la genial idea de unificar la  biblioteca ""de estudio"" con la sala de niños. PATÉTICO","Civic Center Library ""Vista Alegre""",https://www.google.com/maps/search/?api=1&query=Civic%20Center%20Library%20%22Vista%20Alegre%22&query_place_id=ChIJPzfyuZP8RQ0RzeQn7LPdc2U
Religious institution,Burgos,40,5.0,Burgos,"El edificio donde se encuentra el arzobispado de Burgos es una verdadera joya arquitectónica. Fueron muy amables cuando lo visité, no solamente en este edificio sino en toda la ciudad.",Archbishopric of Burgos,https://www.google.com/maps/search/?api=1&query=Archbishopric%20of%20Burgos&query_place_id=ChIJq6qqqiX9RQ0RaZPM6hIMV9o
Barrister,Burgos,1,5.0,Burgos,"Es un despacho resolutivo. Esta circunstancia es de agradecer, cuando los abogados/as somos de fuera de Burgos. En definitiva, es como contar con nuestro procurador/a de confianza, pero ubicado en la capital Burgalesa.",Procuradora Blanca Carpintero Santamaría,https://www.google.com/maps/search/?api=1&query=Procuradora%20Blanca%20Carpintero%20Santamar%C3%ADa&query_place_id=ChIJAQBQbin9RQ0R28k6rSPvUUQ
Dental laboratory,Burgos,1,5.0,Burgos,,Isabel Pérez Ortega,https://www.google.com/maps/search/?api=1&query=Isabel%20P%C3%A9rez%20Ortega&query_place_id=ChIJUasVe9X8RQ0R9Yw6-ekXKqs
Bicycle wholesaler,Burgos,0,,Burgos,,Bicalia Gestión S.L.,https://www.google.com/maps/search/?api=1&query=Bicalia%20Gesti%C3%B3n%20S.L.&query_place_id=ChIJc7hiX5n9RQ0RcHl92MyclpA
Drinking water fountain,Burgos,0,,Burgos,,Fuente,https://www.google.com/maps/search/?api=1&query=Fuente&query_place_id=ChIJi0t8DQD9RQ0RzZ_mKdayOy0
Animal feed store,Baranda,7,5.0,Burgos,,Forrajes Ruiz,https://www.google.com/maps/search/?api=1&query=Forrajes%20Ruiz&query_place_id=ChIJ9UaGy3IkTw0RSSUWjLUfPYg
Bus stop,Ibeas de Juarros,1,5.0,Burgos,"Gran pueblo cerca de Burgos capital, zona de naturaleza impresionante cerca de la sierra de la demanda, comida buena",Ibeas De Juarros,https://www.google.com/maps/search/?api=1&query=Ibeas%20De%20Juarros&query_place_id=ChIJFzUX0C3uRQ0RCmUuw33VwCw
Bicycle Shop,Burgos,1,5.0,Burgos,"Excelente trato ,muy bien asesorados y gran producto ,",Minali,https://www.google.com/maps/search/?api=1&query=Minali&query_place_id=ChIJFW23etX8RQ0RqWwYDfiW1NI
Bakery,Ibeas de Juarros,16,4.0,Burgos,"Pasamos un domingo por allí y compramos un pan delicioso,la única pega es que no tienen despachos de ese pan en la zona de Gamonal que es donde yo vivo.",La Tahona de Ibeas (La Perla),https://www.google.com/maps/search/?api=1&query=La%20Tahona%20de%20Ibeas%20(La%20Perla)&query_place_id=ChIJv1wAcC7uRQ0RnLr1aP-AWMY
Bar,Burgos,1359,5.0,Burgos,,NiSinTi,https://www.google.com/maps/search/?api=1&query=NiSinTi&query_place_id=ChIJcWzMvpP8RQ0RJ6G3QX9p8T8
Courthouse,Ibeas de Juarros,1,5.0,Burgos,,Juzgado de Paz,https://www.google.com/maps/search/?api=1&query=Juzgado%20de%20Paz&query_place_id=ChIJry2bdi7uRQ0R9eLQTEV2JnU
Tourist attraction,Burgos,26,5.0,Burgos,,Callejón de las brujas,https://www.google.com/maps/search/?api=1&query=Callej%C3%B3n%20de%20las%20brujas&query_place_id=ChIJX1wh_Ir9RQ0RomCDHcCbGrg
Environmental consultant,Burgos,0,,Burgos,,"Seguridad Procuma, S.L. - Consejeros de Seguridad",https://www.google.com/maps/search/?api=1&query=Seguridad%20Procuma%2C%20S.L.%20-%20Consejeros%20de%20Seguridad&query_place_id=ChIJFW23etX8RQ0R__ZLWLiw44A
Physical therapy clinic,Burgos,71,5.0,Burgos,"Un trato increíble. Han visto a mi hija de 12 años y Carlos ha sido encantador y lo más importante, ha salido de allí feliz y con las rodillas a punto. 100% recomendable.",Fisioaxis,https://www.google.com/maps/search/?api=1&query=Fisioaxis&query_place_id=ChIJ2_wuuZP8RQ0RluKqvTaF8F0
Villa,Quintanahedo,11,3.0,Burgos,,Casa las Niñas,https://www.google.com/maps/search/?api=1&query=Casa%20las%20Ni%C3%B1as&query_place_id=ChIJF0FlAAMlTw0RDey97gilHlE
Restaurant,Burgos,1298,5.0,Burgos,"Interesante y delicioso menú. Acudí entre semana a comer con mi pareja y la experiencia fue muy buena. Te ofrecen un pequeño entrante para abrir boca. Los platos muy bien presentados y deliciosos.
Sin duda recomendable.",Restaurante El Huerto de Roque,https://www.google.com/maps/search/?api=1&query=Restaurante%20El%20Huerto%20de%20Roque&query_place_id=ChIJ9xW4aCn9RQ0RhJYwQZDfWCg
Bank,Ibeas de Juarros,4,1.0,Burgos,"PUEDEN PONER UN TELÉFONO DE SOLO LA OFICINA Y NO UN ROBOT?
Ese robot no me soluciona nada.",CaixaBank Agrobank,https://www.google.com/maps/search/?api=1&query=CaixaBank%20Agrobank&query_place_id=ChIJYy55ey7uRQ0Rf8Y2c3MZrt0
Farm,Medinilla de la Dehesa,2,5.0,Burgos,"aqui se junta toda la tropa, campos muy amigables",Campos de Grelos,https://www.google.com/maps/search/?api=1&query=Campos%20de%20Grelos&query_place_id=ChIJM-CnXwAPRg0R7zp69R2p-nM
Hotel,Burgos,0,,Burgos,,Hotel buleva,https://www.google.com/maps/search/?api=1&query=Hotel%20buleva&query_place_id=ChIJbSnnUgD9RQ0RyiulK8n433w
Savings bank,Burgos,1,1.0,Burgos,"Vergonzosa la atención de una señorita de gafas. No me dieron el dinero de un plazo fijo porque no había ido en 6 meses, según ella me mandaron una carta para explicarlo. Con este servicio, mejor q me atienda un cajero la misma empatia y resolución.","Caja Rural, Urb. 10",https://www.google.com/maps/search/?api=1&query=Caja%20Rural%2C%20Urb.%2010&query_place_id=ChIJoeHDetX8RQ0RuYMcZV6lkcg
Toy store,Burgos,349,5.0,Burgos,,Burmodel Modelismo y Radiocontrol,https://www.google.com/maps/search/?api=1&query=Burmodel%20Modelismo%20y%20Radiocontrol&query_place_id=ChIJcWzMvpP8RQ0RuMPeIcZNyBs
Dental clinic,Burgos,8,1.0,Burgos,"No he pasado de la recepción, atención al cliente con muy poco tacto,",CLÍNICA DENTAL González García,https://www.google.com/maps/search/?api=1&query=CL%C3%8DNICA%20DENTAL%20Gonz%C3%A1lez%20Garc%C3%ADa&query_place_id=ChIJVyYlP9X8RQ0RwY2F6MIc7_A
Art school,Burgos,13,5.0,Burgos,"Buena editorial. Y buena academia de programación, robótica y dibujo. Hacedores de MAKERS.",La Fragua / Escuela de Comic 2,https://www.google.com/maps/search/?api=1&query=La%20Fragua%20%2F%20Escuela%20de%20Comic%202&query_place_id=ChIJAcRdLqT8RQ0RPl1foaxICjI
Research foundation,Ibeas de Juarros,41,5.0,Burgos,"Esto está a otro nivel. Todo empezó bien, la gente del Carex muy amable, en el yacimiento las explicaciones muy didácticas,  el recorrido se me hizo corto. Vuelta al Carex el periplo muy ameno e instructivo. La visita al museo imprescindible.",Fundación Atapuerca,https://www.google.com/maps/search/?api=1&query=Fundaci%C3%B3n%20Atapuerca&query_place_id=ChIJbekdri3uRQ0R1yrS4TLqq08
Religious organization,Burgos,0,,Burgos,,Cofradía de Nuestra Señora de La Soledad y de Santiago,https://www.google.com/maps/search/?api=1&query=Cofrad%C3%ADa%20de%20Nuestra%20Se%C3%B1ora%20de%20La%20Soledad%20y%20de%20Santiago&query_place_id=ChIJUUDXSMv9RQ0RDq3qFHh89dE
Grocery store,Burgos,4,4.0,Burgos,,Frutas y Verduras Mari Carmen,https://www.google.com/maps/search/?api=1&query=Frutas%20y%20Verduras%20Mari%20Carmen&query_place_id=ChIJKYFbedX8RQ0RMqRoVxNBHbo
Bus stop,Barcenillas del Ribero,0,,Burgos,,Barcenillas Del Rivero,https://www.google.com/maps/search/?api=1&query=Barcenillas%20Del%20Rivero&query_place_id=ChIJw9BDROsjTw0RpCZgy2i3qKs
Handyman/Handywoman/Handyperson,Quintanahedo,3,5.0,Burgos,,KSP,https://www.google.com/maps/search/?api=1&query=KSP&query_place_id=ChIJL1PdBV5cp20RACamdF7K8Ms
ATM,Ibeas de Juarros,0,,Burgos,,Cajero Automático IberCaja,https://www.google.com/maps/search/?api=1&query=Cajero%20Autom%C3%A1tico%20IberCaja&query_place_id=ChIJ194xDdbvRQ0R_bbURm4C63Q
Construction company,Burgos,4,5.0,Burgos,,daisa encofrados,https://www.google.com/maps/search/?api=1&query=daisa%20encofrados&query_place_id=ChIJmwJbvJP8RQ0R5sUIxAGs934
Student housing center,Burgos,56,5.0,Burgos,"Instalaciones, ubicacion, ambiente, filosofia de la institucion todo sobresaliente y para culminar en Burgos, una ciudad preciosa y acogedora, con un magnifico campus universitario y un centro historico magnifico, incluidos los lugares para el tapeo",Colegio Mayor San Jerónimo,https://www.google.com/maps/search/?api=1&query=Colegio%20Mayor%20San%20Jer%C3%B3nimo&query_place_id=ChIJ2VfXcrz9RQ0R2RE80jU2MiE
Bank,Ibeas de Juarros,0,,Burgos,,Ibercaja Banco,https://www.google.com/maps/search/?api=1&query=Ibercaja%20Banco&query_place_id=ChIJKRtuZC7uRQ0RnSw15SyHHRM
Bus stop,Ibeas de Juarros,0,,Burgos,,Ibeas De Juarros,https://www.google.com/maps/search/?api=1&query=Ibeas%20De%20Juarros&query_place_id=ChIJ8eOezi3uRQ0Rcpz_enj7j0A
Fish store,Burgos,24,5.0,Burgos,,El Puerto de Charo. Pescadería y Marisquería,https://www.google.com/maps/search/?api=1&query=El%20Puerto%20de%20Charo.%20Pescader%C3%ADa%20y%20Marisquer%C3%ADa&query_place_id=ChIJs_FkedX8RQ0RX90x0HEtuXE
Cemetery,Gayangos,0,,Burgos,,Cemetery,https://www.google.com/maps/search/?api=1&query=Cemetery&query_place_id=ChIJVVXln2EkTw0RxLLmHX_CCrY
Youth organization,Barcenillas del Ribero,1,1.0,Burgos,,Organización Juvenil Española - OJE,https://www.google.com/maps/search/?api=1&query=Organizaci%C3%B3n%20Juvenil%20Espa%C3%B1ola%20-%20OJE&query_place_id=ChIJEy1zSOojTw0RoyymRTZVpbI
Cemetery,Villalázara,0,,Burgos,,Cementerio,https://www.google.com/maps/search/?api=1&query=Cementerio&query_place_id=ChIJT0xE2MUjTw0RfND8RsvudEQ
Advertising agency,Burgos,0,,Burgos,,PROMOCYL,https://www.google.com/maps/search/?api=1&query=PROMOCYL&query_place_id=ChIJr-FoHf39RQ0R4qvA84h2u7M
Park,Burgos,0,,Burgos,,Placa dedicada a Román García,https://www.google.com/maps/search/?api=1&query=Placa%20dedicada%20a%20Rom%C3%A1n%20Garc%C3%ADa&query_place_id=ChIJNWj8DQD9RQ0RN_nh6eXzWnk
Holiday apartment,Burgos,0,,Burgos,,Catedral Deluxe Residence,https://www.google.com/maps/search/?api=1&query=Catedral%20Deluxe%20Residence&query_place_id=ChIJibyz1ML9RQ0Rb4bQU2SL7X8
Shipping and mailing service,Burgos,2,3.0,Burgos,"Es una ferretería. La dueña muy maja pero me ha sido un poco complicado llegar.
Adjunto foto para que no os pase lo mismo.",UPS Access Point,https://www.google.com/maps/search/?api=1&query=UPS%20Access%20Point&query_place_id=ChIJR_RPPfD9RQ0Raww9eKMeAVk
Hunting area,Burgos,9,5.0,Burgos,,Cinegética Cernégula,https://www.google.com/maps/search/?api=1&query=Cineg%C3%A9tica%20Cern%C3%A9gula&query_place_id=ChIJqSjdRJP8RQ0RmYF-YRVv9tU
Doctor,Burgos,0,,Burgos,,Sociedad De Diagnóstico Por Imagen Naysfa,https://www.google.com/maps/search/?api=1&query=Sociedad%20De%20Diagn%C3%B3stico%20Por%20Imagen%20Naysfa&query_place_id=ChIJmwJbvJP8RQ0RgdBOFPPrkew
Tourist attraction,Medinilla de la Dehesa,0,,Burgos,,Mural de las bilbainitas,https://www.google.com/maps/search/?api=1&query=Mural%20de%20las%20bilbainitas&query_place_id=ChIJi37yGwAPRg0RYvcm2VaFZhY
Restaurant,Ibeas de Juarros,2612,5.0,Burgos,La comida muy buena pero la verdad es lo mismo que si comes menú pues hemos pedido olla podrida y la mesa de al lado comían el menú que la olla podrida a nosotros nos han cobrado por cabeza 22 € de cada olla podrida el menú no sé cuánto valía pero pan así que aconsejo que si vais a comer allí primero preguntar antes de pedir nada de la carta,RESTAURANTE LOS CLAVELES,https://www.google.com/maps/search/?api=1&query=RESTAURANTE%20LOS%20CLAVELES&query_place_id=ChIJdSGX0S3uRQ0RTaj4LV21k60
Catholic church,Gayangos,1,5.0,Burgos,Bello pueblo. Vale la pena conocer.,Iglesia de San Justo y Pastor,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20San%20Justo%20y%20Pastor&query_place_id=ChIJv6jNMq4lTw0RbPodZAQGjPM
Cafe,Burgos,205,5.0,Burgos,,Café Bar Rodri,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Bar%20Rodri&query_place_id=ChIJdVnxe9X8RQ0R3163O5ypmLE
Musical instrument repair shop,Burgos,0,,Burgos,,Miguel García Cabezas,https://www.google.com/maps/search/?api=1&query=Miguel%20Garc%C3%ADa%20Cabezas&query_place_id=ChIJT5iRbSn9RQ0RLpK1lt-q6gc
Historical landmark,Hormaza,0,,Burgos,,Rollo de justicia,https://www.google.com/maps/search/?api=1&query=Rollo%20de%20justicia&query_place_id=ChIJ1S6BZgARRg0RhKTnrRpp0Fc
Association / Organization,Burgos,1,5.0,Burgos,"Tiene unas salas para reuniones fabulosas, bi n acondicionadas y multiples",Cáritas Parroquia San Cosme y San Damián,https://www.google.com/maps/search/?api=1&query=C%C3%A1ritas%20Parroquia%20San%20Cosme%20y%20San%20Dami%C3%A1n&query_place_id=ChIJ042KRKD9RQ0RKkp9GXlEqr4
Corporate office,Burgos,0,,Burgos,,INGITER,https://www.google.com/maps/search/?api=1&query=INGITER&query_place_id=ChIJcSYgbAD9RQ0RhAC-IQR0wUc
Association / Organization,Estépar,5,5.0,Burgos,Buen sitio de pesca,SET. P.E. VALDELUGO y PERDIGUERA,https://www.google.com/maps/search/?api=1&query=SET.%20P.E.%20VALDELUGO%20y%20PERDIGUERA&query_place_id=ChIJl7Z0QB0PRg0RdLakM-qKWMk
Catholic church,Hormaza,5,5.0,Burgos,,Iglesia de San Esteban Protomártir,https://www.google.com/maps/search/?api=1&query=Iglesia%20de%20San%20Esteban%20Protom%C3%A1rtir&query_place_id=ChIJR0sWZwkQRg0R93hjjJeEZ2g
City government office,Burgos,8,5.0,Burgos,"La atención al cliente que nos brindaron excelente, amabilidad y fluidez en el servicio, información adecuada, gracias",SAMyT - Servicio Municipalizado de Movilidad y Transportes,https://www.google.com/maps/search/?api=1&query=SAMyT%20-%20Servicio%20Municipalizado%20de%20Movilidad%20y%20Transportes&query_place_id=ChIJ6wrK7Nr8RQ0RvuleCtTfvhc
City Hall,Ibeas de Juarros,19,2.0,Burgos,"¡Ojo! Abre los miércoles por la tarde, no los jueves. Estaría bien que se actualizase el horario en la web. Se evitarían desplazamientos en balde.",Ibeas of Juarros Town Hall,https://www.google.com/maps/search/?api=1&query=Ibeas%20of%20Juarros%20Town%20Hall&query_place_id=ChIJu1Zcdi7uRQ0REwtPYpIG_NU
Restaurant,Ibeas de Juarros,987,3.0,Burgos,,Restaurante Rutas Verdes,https://www.google.com/maps/search/?api=1&query=Restaurante%20Rutas%20Verdes&query_place_id=ChIJY-xW1i3uRQ0RlrnWqX01Ry0
Dentist,Burgos,3,5.0,Burgos,"✨Estupendo profesional, desde la recepción (la recepcionista) hasta el tratamiento con Víctor ✨",Dr. Víctor González García,https://www.google.com/maps/search/?api=1&query=Dr.%20V%C3%ADctor%20Gonz%C3%A1lez%20Garc%C3%ADa&query_place_id=ChIJq6qa_irjRQ0RpKp5h0vIfcw
University,Burgos,0,,Burgos,,Escuela Universitaria De Relaciones Laborales,https://www.google.com/maps/search/?api=1&query=Escuela%20Universitaria%20De%20Relaciones%20Laborales&query_place_id=ChIJ5zK8OwD9RQ0RTq3uDHQJkAo
Pharmacy,Ibeas de Juarros,2,5.0,Burgos,"Muy bien atendida, con mucho agrado.
Tienen de todo.",Farmacia Marina Bueno Saiz,https://www.google.com/maps/search/?api=1&query=Farmacia%20Marina%20Bueno%20Saiz&query_place_id=ChIJl0ySSYTvRQ0RbmtBu1-0yvk
Drinking water fountain,Burgos,0,,Burgos,,Fuente de agua potable,https://www.google.com/maps/search/?api=1&query=Fuente%20de%20agua%20potable&query_place_id=ChIJnS_VKQD9RQ0RwBGktx7caRo
Archive,Burgos,31,1.0,Burgos,,Archivo Diocesano de Burgos,https://www.google.com/maps/search/?api=1&query=Archivo%20Diocesano%20de%20Burgos&query_place_id=ChIJT86QZin9RQ0R1_0ed-3kTKM
